pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
btc_idr,trend_pullback,2026-04-01T01:15:00+00:00,1159756000,0.00008622,2026-04-02T01:45:00+00:00,1141352000,stop_loss,578.94,-2165.73
btc_idr,range_reversion,2026-04-02T02:30:00+00:00,1139921000,0.00008772,2026-04-02T12:15:00+00:00,1126998000,stop_loss,580.48,-1714.09
eth_idr,trend_pullback,2026-04-06T06:15:00+00:00,36258000,0.00275801,2026-04-06T15:45:00+00:00,36908000,take_profit,590.53,1202.17
eth_idr,trend_pullback,2026-04-06T18:30:00+00:00,36498000,0.00273987,2026-04-06T23:00:00+00:00,35973000,stop_loss,579.48,-2017.91
btc_idr,trend_pullback,2026-04-06T21:00:00+00:00,1189405000,0.00008407,2026-04-06T23:00:00+00:00,1176816000,stop_loss,580.74,-1639.10
sol_idr,range_reversion,2026-04-06T23:15:00+00:00,1369315,0.07302921,2026-04-07T05:00:00+00:00,1364370,regime_exit,583.16,-944.29
eth_idr,trend_pullback,2026-04-07T00:30:00+00:00,36039000,0.00277477,2026-04-07T14:15:00+00:00,35460000,stop_loss,578.90,-2185.49
btc_idr,trend_pullback,2026-04-07T00:30:00+00:00,1174909000,0.00008511,2026-04-07T15:00:00+00:00,1160706000,stop_loss,580.24,-1789.06
sol_idr,trend_pullback,2026-04-08T02:30:00+00:00,1442975,0.06930126,2026-04-08T14:45:00+00:00,1410300,stop_loss,576.65,-2841.07
btc_idr,trend_pullback,2026-04-08T03:30:00+00:00,1211443000,0.00008254,2026-04-09T22:30:00+00:00,1241027000,take_profit,592.71,1849.15
btc_idr,trend_pullback,2026-04-10T05:15:00+00:00,1233895000,0.00008104,2026-04-11T18:45:00+00:00,1255953000,take_profit,590.49,1197.09
eth_idr,trend_pullback,2026-04-10T20:15:00+00:00,38469000,0.00259949,2026-04-11T18:45:00+00:00,39301000,take_profit,591.80,1570.98
sol_idr,trend_pullback,2026-04-10T17:15:00+00:00,1449275,0.06900001,2026-04-12T01:45:00+00:00,1424040,stop_loss,578.44,-2319.66
eth_idr,trend_pullback,2026-04-12T00:45:00+00:00,39003000,0.00256390,2026-04-12T01:45:00+00:00,38453000,stop_loss,579.57,-1989.72
btc_idr,range_reversion,2026-04-12T02:00:00+00:00,1224388000,0.00008167,2026-04-12T08:00:00+00:00,1225751000,regime_exit,584.76,-473.44
btc_idr,trend_pullback,2026-04-14T02:30:00+00:00,1268461000,0.00007883,2026-04-14T14:15:00+00:00,1292845000,take_profit,590.94,1331.26
btc_idr,trend_pullback,2026-04-14T16:15:00+00:00,1291587000,0.00007742,2026-04-14T17:00:00+00:00,1275874000,stop_loss,580.21,-1796.71
sol_idr,trend_pullback,2026-04-14T08:15:00+00:00,1472472,0.06791300,2026-04-14T18:45:00+00:00,1450312,stop_loss,579.25,-2084.20
eth_idr,trend_pullback,2026-04-14T05:15:00+00:00,40436000,0.00247304,2026-04-14T19:00:00+00:00,39749000,stop_loss,578.59,-2277.56
btc_idr,trend_pullback,2026-04-14T18:30:00+00:00,1279597000,0.00007814,2026-04-15T07:30:00+00:00,1262354000,stop_loss,579.72,-1927.09
btc_idr,trend_pullback,2026-04-15T08:45:00+00:00,1266256000,0.00007897,2026-04-17T09:00:00+00:00,1296919000,take_profit,592.66,1828.79
eth_idr,trend_pullback,2026-04-14T21:30:00+00:00,39774000,0.00251420,2026-04-17T13:15:00+00:00,40858000,take_profit,593.73,2131.67
eth_idr,trend_pullback,2026-04-17T18:15:00+00:00,41828000,0.00239074,2026-04-18T08:30:00+00:00,41091000,stop_loss,578.37,-2340.35
sol_idr,trend_pullback,2026-04-16T23:30:00+00:00,1525157,0.06556702,2026-04-18T11:00:00+00:00,1492711,stop_loss,577.12,-2704.51
