pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
sol_idr,trend_breakout,2022-03-31T00:00:00+00:00,1733030,0.03607048,2022-04-07T00:00:00+00:00,1680438,stop_loss,421.34,-2318.35
btc_idr,trend_breakout,2022-03-25T00:00:00+00:00,629734000,0.00012332,2022-04-09T00:00:00+00:00,613915000,stop_loss,524.82,-2475.62
eth_idr,trend_breakout,2022-03-25T00:00:00+00:00,44527000,0.00158277,2022-04-12T00:00:00+00:00,45170000,stop_loss,485.82,531.90
eth_idr,trend_breakout,2022-08-11T00:00:00+00:00,27371000,0.00239808,2022-08-20T00:00:00+00:00,25318000,stop_loss,432.38,-5355.64
eth_idr,trend_breakout,2022-09-11T00:00:00+00:00,26218000,0.00252397,2022-09-16T00:00:00+00:00,22402000,stop_loss,419.93,-10051.40
sol_idr,trend_breakout,2022-11-06T00:00:00+00:00,573394,0.17440015,2022-11-07T00:00:00+00:00,515723,stop_loss,649.98,-10707.81
eth_idr,trend_breakout,2022-10-26T00:00:00+00:00,22650000,0.00441501,2022-11-09T00:00:00+00:00,23046000,stop_loss,690.38,1057.96
btc_idr,trend_breakout,2022-10-27T00:00:00+00:00,322364000,0.00031020,2022-11-09T00:00:00+00:00,311790000,stop_loss,673.16,-3953.21
eth_idr,trend_breakout,2023-01-10T00:00:00+00:00,20612000,0.00485154,2023-01-26T00:00:00+00:00,22960000,stop_loss,723.38,10668.03
btc_idr,trend_breakout,2023-01-15T00:00:00+00:00,317587000,0.00031487,2023-02-10T00:00:00+00:00,334403000,stop_loss,702.51,4592.34
sol_idr,trend_breakout,2023-01-15T00:00:00+00:00,365301,0.16524555,2023-02-10T00:00:00+00:00,328015,stop_loss,392.05,-6553.40
sol_idr,trend_breakout,2023-02-21T00:00:00+00:00,397581,0.15498589,2023-02-26T00:00:00+00:00,334238,stop_loss,388.13,-10205.40
btc_idr,trend_breakout,2023-02-16T00:00:00+00:00,366384000,0.00027293,2023-03-04T00:00:00+00:00,351326000,stop_loss,670.32,-4780.10
btc_idr,trend_breakout,2023-03-15T00:00:00+00:00,377403000,0.00026496,2023-04-22T00:00:00+00:00,420606000,stop_loss,723.55,10723.52
eth_idr,trend_breakout,2023-03-15T00:00:00+00:00,26002000,0.00384585,2023-04-22T00:00:00+00:00,28868000,stop_loss,722.12,10300.09
sol_idr,trend_breakout,2023-04-13T00:00:00+00:00,354090,0.20362866,2023-04-22T00:00:00+00:00,325106,stop_loss,473.28,-6375.25
eth_idr,trend_breakout,2023-05-29T00:00:00+00:00,28465000,0.00351308,2023-06-06T00:00:00+00:00,26650000,stop_loss,662.58,-7038.82
sol_idr,trend_breakout,2023-07-07T00:00:00+00:00,300150,0.27282152,2023-07-19T00:00:00+00:00,380762,stop_loss,635.70,21356.99
btc_idr,trend_breakout,2023-06-21T00:00:00+00:00,421151000,0.00023744,2023-07-25T00:00:00+00:00,443944000,stop_loss,702.91,4709.06
eth_idr,trend_breakout,2023-07-01T00:00:00+00:00,29095000,0.00343701,2023-07-25T00:00:00+00:00,27977000,stop_loss,671.25,-4513.83
sol_idr,trend_breakout,2023-08-15T00:00:00+00:00,384598,0.20198755,2023-08-18T00:00:00+00:00,334754,stop_loss,497.22,-10565.08
eth_idr,trend_breakout,2023-10-02T00:00:00+00:00,26732000,0.00374083,2023-10-06T00:00:00+00:00,25307000,stop_loss,666.16,-5996.84
btc_idr,trend_breakout,2023-10-02T00:00:00+00:00,430906000,0.00023206,2023-10-12T00:00:00+00:00,419651000,stop_loss,675.44,-3287.27
sol_idr,trend_breakout,2023-10-02T00:00:00+00:00,368965,0.27102841,2023-10-13T00:00:00+00:00,339241,stop_loss,656.83,-8712.88
sol_idr,trend_breakout,2023-10-21T00:00:00+00:00,428517,0.20544427,2023-11-03T00:00:00+00:00,639480,stop_loss,750.83,42590.31
sol_idr,trend_breakout,2023-11-11T00:00:00+00:00,890169,0.07497207,2023-11-14T00:00:00+00:00,834285,stop_loss,442.42,-4632.16
btc_idr,trend_breakout,2023-10-17T00:00:00+00:00,445548000,0.00022444,2023-11-15T00:00:00+00:00,552048000,stop_loss,766.19,23136.67
eth_idr,trend_breakout,2023-10-24T00:00:00+00:00,27814000,0.00359531,2023-11-15T00:00:00+00:00,31000000,stop_loss,723.60,10731.06
sol_idr,trend_breakout,2023-11-16T00:00:00+00:00,1016508,0.05476931,2023-11-22T00:00:00+00:00,837058,stop_loss,347.40,-10175.75
btc_idr,trend_breakout,2023-12-02T00:00:00+00:00,600855000,0.00016642,2023-12-12T00:00:00+00:00,644616000,stop_loss,709.28,6573.42
eth_idr,trend_breakout,2023-12-03T00:00:00+00:00,33546000,0.00298098,2023-12-12T00:00:00+00:00,34386000,stop_loss,692.97,1811.05
sol_idr,trend_breakout,2023-12-08T00:00:00+00:00,1051415,0.05346421,2023-12-27T00:00:00+00:00,1608017,stop_loss,486.56,29271.73
